"Interval start","Client 1","Client 2","TCP","QUIC-Wave","ALL TCP"
57,2.78938e+07,2.22734e+07,0,5.18118e+07,0
58,2.84897e+07,2.13722e+07,0,5.15197e+07,0
59,2.75677e+07,2.24732e+07,0,5.16832e+07,0
60,2.28506e+07,2.72396e+07,0,5.1729e+07,0
61,2.21737e+07,2.77976e+07,0,5.16202e+07,0
62,2.16894e+07,2.83912e+07,0,5.17235e+07,0
63,2.18127e+07,2.82464e+07,0,5.1697e+07,0
64,2.1696e+07,2.8224e+07,0,5.15619e+07,0
65,2.95545e+07,2.02637e+07,0,5.1449e+07,0
66,2.8012e+07,2.21009e+07,0,5.17794e+07,0
67,2.72987e+07,2.23699e+07,0,5.12895e+07,0
68,2.8133e+07,2.19946e+07,0,5.17754e+07,0
69,2.7182e+07,2.26471e+07,0,5.14643e+07,0
70,3.07484e+07,1.9346e+07,0,5.17445e+07,0
71,2.77764e+07,2.21931e+07,0,5.16096e+07,0
72,2.76583e+07,2.22876e+07,0,5.16005e+07,0
73,2.80164e+07,2.20632e+07,0,5.17327e+07,0
74,2.75364e+07,2.24398e+07,0,5.16256e+07,0
75,2.71689e+07,2.28226e+07,0,5.16442e+07,0
76,2.81352e+07,2.18594e+07,0,5.16518e+07,0
77,2.81301e+07,2.17955e+07,0,5.15904e+07,0
78,2.76582e+07,2.23944e+07,0,5.16989e+07,0
79,2.82533e+07,2.17779e+07,0,5.16843e+07,0
80,3.03968e+07,1.94693e+07,0,5.15077e+07,0
81,2.83715e+07,2.16521e+07,0,5.16876e+07,0
82,2.74169e+07,2.26502e+07,0,5.1711e+07,0
83,2.81265e+07,2.1941e+07,0,5.173e+07,0
84,2.80099e+07,2.16233e+07,0,5.12725e+07,0
85,2.77692e+07,2.23015e+07,0,5.1723e+07,0
86,2.51574e+07,2.47824e+07,0,5.15906e+07,0
87,2.89579e+07,2.10504e+07,0,5.165e+07,0
88,2.49146e+07,2.51444e+07,0,5.17059e+07,0
89,2.58655e+07,2.40662e+07,0,5.15795e+07,0
90,2.45147e+07,2.54957e+07,0,5.16524e+07,0
91,2.48417e+07,2.5197e+07,0,5.16864e+07,0
92,2.86005e+07,2.1332e+07,0,5.15625e+07,0
93,2.84919e+07,2.15556e+07,0,5.1704e+07,0
94,2.86093e+07,2.12212e+07,0,5.1487e+07,0
95,2.84882e+07,2.12792e+07,0,5.14045e+07,0
96,2.80141e+07,2.20593e+07,0,5.17252e+07,0
97,2.9432e+07,2.05205e+07,0,5.15901e+07,0
98,2.89652e+07,2.11038e+07,0,5.17178e+07,0
99,2.86032e+07,2.14375e+07,0,5.16938e+07,0
100,2.79123e+07,2.20504e+07,0,5.16013e+07,0
101,2.90505e+07,2.09849e+07,0,5.16896e+07,0
102,2.79309e+07,2.19004e+07,0,5.14839e+07,0
103,2.72979e+07,2.26145e+07,0,5.15678e+07,0
104,2.67036e+07,2.33448e+07,0,5.17046e+07,0
105,2.83723e+07,2.16122e+07,0,5.16203e+07,0
106,2.67007e+07,2.34011e+07,0,5.17541e+07,0
107,2.65877e+07,2.33802e+07,0,5.16149e+07,0
108,2.6821e+07,2.32265e+07,0,5.16889e+07,0
109,2.64643e+07,2.33812e+07,0,5.14963e+07,0
110,2.05028e+07,2.95807e+07,0,5.17316e+07,0
111,2.37097e+07,2.61846e+07,0,5.15268e+07,0
112,2.92043e+07,2.09085e+07,0,5.17668e+07,0
113,2.84889e+07,2.14895e+07,0,5.16403e+07,0
114,2.82468e+07,2.16642e+07,0,5.15555e+07,0
115,2.81264e+07,2.18901e+07,0,5.16667e+07,0
116,2.84912e+07,2.13595e+07,0,5.15038e+07,0
117,3.04027e+07,1.98088e+07,0,5.18737e+07,0
118,2.70588e+07,2.29071e+07,0,5.16105e+07,0
119,2.78918e+07,2.19733e+07,0,5.15167e+07,0
120,2.82564e+07,2.19197e+07,0,5.1831e+07,0
121,2.58708e+07,2.40981e+07,0,5.16059e+07,0
122,2.99053e+07,2.00259e+07,0,5.15814e+07,0
123,2.84889e+07,2.15163e+07,0,5.16655e+07,0
124,2.86056e+07,2.14813e+07,0,5.17386e+07,0
125,2.74524e+07,2.24709e+07,0,5.15774e+07,0
126,2.79777e+07,2.20778e+07,0,5.16938e+07,0
127,3.08687e+07,1.89827e+07,0,5.15007e+07,0
128,2.83685e+07,2.17972e+07,0,5.18135e+07,0
129,2.77742e+07,2.22116e+07,0,5.16367e+07,0
130,2.84867e+07,2.13245e+07,0,5.14638e+07,0
131,2.80069e+07,2.18931e+07,0,5.1547e+07,0
132,2.78931e+07,2.213e+07,0,5.16811e+07,0
133,2.72928e+07,2.28166e+07,0,5.17565e+07,0
134,2.68224e+07,2.31189e+07,0,5.15992e+07,0
135,2.68224e+07,2.32155e+07,0,5.16863e+07,0
136,3.06301e+07,1.93201e+07,0,5.15988e+07,0
137,2.67028e+07,2.33684e+07,0,5.17105e+07,0
138,2.68224e+07,2.31398e+07,0,5.162e+07,0
139,2.69413e+07,2.31286e+07,0,5.17161e+07,0
140,2.68173e+07,2.29251e+07,0,5.13841e+07,0
141,2.74176e+07,2.263e+07,0,5.17102e+07,0
142,2.78982e+07,2.19301e+07,0,5.14784e+07,0
143,2.78887e+07,2.21627e+07,0,5.17048e+07,0
144,2.74212e+07,2.25192e+07,0,5.15992e+07,0
145,2.62237e+07,2.3535e+07,0,5.14026e+07,0
146,2.97966e+07,2.03572e+07,0,5.17836e+07,0
147,2.64643e+07,2.31658e+07,0,5.12729e+07,0
148,2.63485e+07,2.38128e+07,0,5.18105e+07,0
149,2.6937e+07,2.29755e+07,0,5.15603e+07,0
150,2.74124e+07,2.27497e+07,0,5.18061e+07,0
151,2.8351e+07,2.14153e+07,0,5.13947e+07,0
152,2.83819e+07,2.10512e+07,0,5.10849e+07,0
153,2.76531e+07,2.25825e+07,0,5.18796e+07,0
154,2.83149e+07,2.15697e+07,0,5.15457e+07,0
155,2.87883e+07,2.12555e+07,0,5.17033e+07,0
156,3.09912e+07,1.8964e+07,0,5.16087e+07,0
157,2.90848e+07,2.08607e+07,0,5.1598e+07,0
158,2.9677e+07,2.04047e+07,0,5.17396e+07,0
159,2.78982e+07,2.19925e+07,0,5.1536e+07,0
160,2.86086e+07,2.12904e+07,0,5.15531e+07,0
161,2.67043e+07,2.34622e+07,0,5.18174e+07,0
162,2.67028e+07,2.32096e+07,0,5.15671e+07,0
163,2.53944e+07,2.45693e+07,0,5.16114e+07,0
164,2.86093e+07,2.1485e+07,0,5.17404e+07,0
165,2.67006e+07,2.32572e+07,0,5.16158e+07,0
166,2.63447e+07,2.36903e+07,0,5.16881e+07,0
167,2.65796e+07,2.3434e+07,0,5.16542e+07,0
168,2.69442e+07,2.29414e+07,0,5.15365e+07,0
169,2.81279e+07,2.18439e+07,0,5.16212e+07,0
170,2.94363e+07,2.05281e+07,0,5.16107e+07,0
171,2.78901e+07,2.2107e+07,0,5.1649e+07,0
172,2.80186e+07,2.19205e+07,0,5.15927e+07,0
173,2.80148e+07,2.19554e+07,0,5.16259e+07,0
174,2.87297e+07,2.12806e+07,0,5.16536e+07,0
175,3.11006e+07,1.87679e+07,0,5.15027e+07,0
176,2.7893e+07,2.1968e+07,0,5.15191e+07,0
177,2.78915e+07,2.21752e+07,0,5.17215e+07,0
178,2.70624e+07,2.28003e+07,0,5.15075e+07,0
179,2.72965e+07,2.25802e+07,0,5.1523e+07,0
180,1.97925e+07,3.03758e+07,0,5.18026e+07,0
181,1.95489e+07,3.02562e+07,0,5.14414e+07,0
182,1.95518e+07,3.03996e+07,0,5.1594e+07,0
183,2.34785e+07,2.64186e+07,0,5.15267e+07,0
184,2.74161e+07,2.27371e+07,0,5.17962e+07,0
185,2.7532e+07,2.2416e+07,0,5.15936e+07,0
186,2.76329e+07,2.23484e+07,0,5.16369e+07,0
187,2.82749e+07,2.1534e+07,0,5.14475e+07,0
188,2.83686e+07,2.14374e+07,0,5.14555e+07,0
189,3.12276e+07,1.86632e+07,0,5.15325e+07,0
190,2.81316e+07,2.19798e+07,0,5.17632e+07,0
191,2.84897e+07,2.14323e+07,0,5.15727e+07,0
192,2.79004e+07,2.20124e+07,0,5.15648e+07,0
193,2.75365e+07,2.26686e+07,0,5.18474e+07,0
194,1.87197e+07,3.12816e+07,0,5.16407e+07,0
195,2.93131e+07,2.07206e+07,0,5.16823e+07,0
196,2.80149e+07,2.16714e+07,0,5.1328e+07,0
197,2.77779e+07,2.22198e+07,0,5.16594e+07,0
198,2.80127e+07,2.20579e+07,0,5.17152e+07,0
199,2.71812e+07,2.28099e+07,0,5.16386e+07,0
200,3.06295e+07,1.93294e+07,0,5.16115e+07,0
201,2.78975e+07,2.21531e+07,0,5.1698e+07,0
202,2.78945e+07,2.20579e+07,0,5.16033e+07,0
203,2.87414e+07,2.11989e+07,0,5.15918e+07,0
204,2.76827e+07,2.2312e+07,0,5.16454e+07,0
205,2.84453e+07,2.16546e+07,0,5.17369e+07,0
206,2.92051e+07,2.07214e+07,0,5.15858e+07,0
207,2.77764e+07,2.22577e+07,0,5.16898e+07,0
208,2.77793e+07,2.22369e+07,0,5.16779e+07,0
209,2.79018e+07,2.19598e+07,0,5.15163e+07,0
210,3.0989e+07,1.91298e+07,0,5.17799e+07,0
211,2.78967e+07,2.21284e+07,0,5.16702e+07,0
